3.7781940000131726, callback, copy, 184, 4, 10000
380.18123000022024, callback, copy, 1494, 4, 10000
1458.9733480000868, callback, copy, 5108, 4, 10000
1.2669649999588728, callback, copy, 11, 4, 1
404.23636600002646, callback, copy, 1482, 4, 10
0.7283380003646016, sync, copy, 13, 4, 1
0.3506180001422763, promise, copy, 10, 4, 100
990.80149800051, callback, copy, 3468, 4, 10
4.847049000672996, callback, copy, 176, 4, 1000
42.80529900081456, sync, copy, 451, 4, 1
320.57056799996644, sync, copy, 1273, 4, 1
3.4384769992902875, callback, copy, 33, 4, 100
1.3522690003737807, callback, copy, 66, 4, 100
0.8520430000498891, promise, copy, 49, 4, 10000
2655.797430000268, sync, copy, 6541, 4, 1
87.67380400002003, callback, copy, 522, 4, 10
1999.2994630001485, callback, copy, 6388, 4, 100
234.9949270002544, promise, copy, 949, 4, 10000
110.90482399985194, promise, copy, 413, 4, 10000
4.591637000441551, callback, copy, 51, 4, 1
6.244322000071406, sync, copy, 51, 4, 1
1.5852819997817278, sync, copy, 32, 4, 1
1.9004979999735951, sync, copy, 38, 4, 1
698.8100630007684, sync, copy, 2445, 4, 1
766.5139570003375, sync, copy, 2750, 4, 1
1844.2881760001183, sync, copy, 6372, 4, 1
2146.4446700001135, callback, copy, 7402, 4, 10000
0.5760300001129508, promise, copy, 30, 4, 10
9.565893999300897, callback, copy, 49, 4, 1
1513.3574979994446, sync, copy, 4817, 4, 1
1969.6570430006832, promise, copy, 6365, 4, 1
14.616355000063777, sync, copy, 189, 4, 1
183.29745899979025, promise, copy, 857, 4, 1000
1636.820268000476, promise, copy, 5400, 4, 10000
911.8313549999148, promise, copy, 3373, 4, 10
1060.2654139995575, promise, copy, 3555, 4, 1
32.79139200039208, sync, copy, 346, 4, 1
87.38071000017226, sync, copy, 423, 4, 1
781.5341380005702, sync, copy, 2721, 4, 1
36.063062000088394, promise, copy, 245, 4, 1
96.68539300002158, sync, copy, 482, 4, 1
14.931571000255644, promise, copy, 104, 4, 10
732.2253119992092, promise, copy, 2752, 4, 1
0.6185320001095533, promise, copy, 29, 4, 1000
65.62258799932897, callback, copy, 429, 4, 10
26.833185999654233, sync, copy, 16, 4, 1
252.57244300004095, sync, copy, 878, 4, 1
2.3132189996540546, sync, copy, 47, 4, 1
763.6475360002369, sync, copy, 2944, 4, 1
23.917035999707878, callback, copy, 255, 4, 1
0.6466329991817474, sync, copy, 12, 4, 1
944.7722890004516, callback, copy, 3327, 4, 10000
46.98002600017935, callback, copy, 300, 4, 10000
5.633290999568999, callback, copy, 116, 4, 10000
143.92673199996352, sync, copy, 533, 4, 1
2.508229000493884, promise, copy, 19, 4, 1
910.5669229999185, promise, copy, 3310, 4, 1
607.1116519998759, promise, copy, 2226, 4, 10
2613.570867999457, callback, copy, 8888, 4, 1000
1.0376530000939965, promise, copy, 55, 4, 100
2.2915179999545217, sync, copy, 41, 4, 1
2259.568593000062, callback, copy, 7188, 4, 1
1581.4811739996076, sync, copy, 5532, 4, 1
0.8266420001164079, sync, copy, 13, 4, 1
5.385878000408411, sync, copy, 75, 4, 1
1.070154999382794, promise, copy, 59, 4, 100
4.0727110002189875, callback, copy, 126, 4, 10000
22.21624800004065, promise, copy, 279, 4, 1000
0.9679499994963408, sync, copy, 18, 4, 1
7.227473000064492, callback, copy, 109, 4, 1000
658.4277039999142, callback, copy, 1992, 4, 10000
3.0171550000086427, sync, copy, 62, 4, 1
69.1827730005607, sync, copy, 424, 4, 1
1.0016520004719496, sync, copy, 19, 4, 1
41.43243999965489, sync, copy, 229, 4, 1
21.156593000516295, sync, copy, 163, 4, 1
372.48653599992394, callback, copy, 1488, 4, 10000
